"adjective","prop_item_correct","gbooks_freq"
"able",0.851851851851852,-0.231
"abnormal",0.962962962962963,0.084
"abrasive",0.814814814814815,-0.23
"abrupt",0.726027397260274,-0.076
"absent-minded",0.842857142857143,NA
"abstemious",0.340659340659341,NA
"abstinent",0.802325581395349,NA
"abstract",0.746987951807229,-0.227
"abstruse",0.382716049382716,-0.232
"absurd",0.863636363636364,0.182
"abusive",0.957983193277311,-0.134
"academic",0.371794871794872,0.946
"acceptant",0.509433962264151,NA
"accepting",0.914634146341463,0.17
"accessible",0.91304347826087,-0.246
"accommodating",0.916666666666667,-0.183
"accomplished",0.925925925925926,0.744
"accountable",0.816091954022989,-0.055
"accurate",0.793478260869565,-0.233
"accusing",0.640449438202247,-0.17
"acerbic",0.375,NA
"acid",0.348484848484849,-0.15
"acquiescent",0.608695652173913,NA
"acquisitive",0.432203389830508,NA
"acrid",0.392857142857143,-0.23
"acrimonious",0.457142857142857,-0.244
"active",0.954022988505747,2.417
"adaptable",0.910112359550562,-0.212
"adaptive",0.961538461538462,0.022
"adjustable",0.932432432432432,-0.205
"admirable",0.942528735632184,0.085
"admonitory",0.512820512820513,NA
"adorable",0.885245901639344,-0.209
"adroit",0.333333333333333,-0.235
"adulatory",0.253164556962025,NA
"adulterous",0.94047619047619,-0.241
"adventurous",0.962025316455696,-0.157
"adversarial",0.85,-0.222
"aesthetic",0.835294117647059,0.25
"affable",0.657534246575342,-0.225
"affected",0.137931034482759,-0.238
"affectionate",0.945652173913043,0.022
"affirmative",0.901408450704225,-0.233
"afraid",0.909090909090909,1.617
"aggravating",0.935064935064935,-0.222
"aggressive",0.892857142857143,-0.236
"agitable",0.7375,NA
"agitated",0.777777777777778,-0.044
"agitative",0.81578947368421,NA
"agreeable",0.580645161290323,0.189
"aimful",0.835443037974684,NA
"aimless",0.914285714285714,-0.229
"airy",0.675,-0.162
"alarmable",0.888888888888889,NA
"alcoholic",1,-0.249
"alert",0.805970149253731,0.132
"alive",0.709677419354839,1.164
"alone",0.948051948051948,5.244
"aloof",0.82051282051282,-0.161
"altruistic",0.6875,-0.21
"amazing",0.853658536585366,0.17
"ambiguous",0.682926829268293,-0.002
"ambitious",0.935064935064935,0.111
"ambivalent",0.590909090909091,-0.176
"amenable",0.72463768115942,-0.171
"amiable",0.743589743589744,-0.053
"amicable",0.821917808219178,-0.222
"amorous",0.835294117647059,-0.211
"amusing",0.6125,0.018
"analytical",0.917647058823529,0.124
"anarchistic",0.915492957746479,NA
"anecdotal",0.7125,-0.213
"angelic",0.894117647058824,-0.178
"angry",0.839506172839506,-0.228
"animated",0.75609756097561,-0.249
"annoyed",0.939024390243902,-0.042
"annoying",1,-0.141
"antagonistic",0.714285714285714,-0.174
"antagonizing",0.909090909090909,NA
"anticipative",0.878048780487805,NA
"antisocial",0.552941176470588,-0.189
"anxious",0.936708860759494,-0.236
"apathetic",0.885057471264368,-0.232
"aphoristic",0.289156626506024,NA
"apolitical",0.782051282051282,-0.242
"apologetic",0.848484848484849,-0.202
"appealing",0.918604651162791,0.005
"appeasing",0.8125,NA
"appreciated",0.58974358974359,0.124
"appreciative",0.946808510638298,-0.188
"apprehensive",0.846153846153846,-0.185
"approachable",0.914285714285714,-0.244
"arbitrary",0.542857142857143,0.194
"arbitrative",0.671232876712329,NA
"ardent",0.522727272727273,-0.023
"argumentative",0.825581395348837,-0.218
"aristocratic",0.76271186440678,-0.071
"arrogant",0.904761904761905,-0.127
"artful",0.568181818181818,-0.206
"articulate",0.954545454545455,-0.038
"artificial",0.723404255319149,-0.155
"artistic",0.939759036144578,0.368
"artless",0.137931034482759,-0.232
"artsy",0.923076923076923,NA
"ascendant",0.428571428571429,-0.23
"ascetic",0.168421052631579,-0.18
"ashamed",0.931506849315068,0.22
"asocial",0.916666666666667,NA
"assertive",0.910112359550562,-0.185
"assiduous",0.152941176470588,-0.229
"assuming",0.452380952380952,-0.09
"assured",0.89873417721519,0.611
"assuring",0.858974358974359,-0.147
"astute",0.631578947368421,-0.191
"atheistic",0.977272727272727,-0.242
"athletic",0.94047619047619,-0.063
"attention-seeking",0.858974358974359,NA
"attentive",0.722222222222222,-0.066
"attractive",0.917808219178082,0.631
"audacious",0.768421052631579,-0.2
"austere",0.580246913580247,-0.179
"authentic",0.957894736842105,-0.234
"authoritarian",0.951612903225806,-0.117
"authoritative",0.674157303370786,-0.043
"autocratic",0.623376623376623,-0.211
"autonomous",0.761363636363636,0.009
"avaricious",0.482758620689655,-0.238
"average",0.931818181818182,0.096
"awake",0.835164835164835,-0.238
"aware",0.864864864864865,1.914
"aweless",0.573170731707317,NA
"awesome",0.929577464788732,-0.168
"awful",0.756756756756757,0.405
"awkward",0.857142857142857,0.071
"babyish",0.9625,NA
"backbiting",0.553398058252427,NA
"bad",0.987179487179487,-0.242
"baiting",0.768115942028985,-0.236
"baleful",0.25,-0.239
